"Tabela 3573 - Pessoas de 10 anos ou mais de idade, por condição de atividade e de ocupação na semana de referência, segundo o sexo, a condição no domicílio e o compartilhamento da responsabilidade pelo domicílio, a naturalidade em relação ao município e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"2909703","Cristópolis (BA)","Total","Total","303"
"2909802","Cruz das Almas (BA)","Total","Total","4242"
"2909901","Curaçá (BA)","Total","Total","1130"
"2910008","Dário Meira (BA)","Total","Total","1036"
"2910057","Dias d'Ávila (BA)","Total","Total","5834"
"2910107","Dom Basílio (BA)","Total","Total","214"
"2910206","Dom Macedo Costa (BA)","Total","Total","200"
"2910305","Elísio Medrado (BA)","Total","Total","224"
"2910404","Encruzilhada (BA)","Total","Total","747"
"2910503","Entre Rios (BA)","Total","Total","2309"
"2910602","Esplanada (BA)","Total","Total","1621"
"2910701","Euclides da Cunha (BA)","Total","Total","3386"
"2910727","Eunápolis (BA)","Total","Total","5423"
"2910750","Fátima (BA)","Total","Total","575"
"2910776","Feira da Mata (BA)","Total","Total","145"
"2910800","Feira de Santana (BA)","Total","Total","30683"
"2910859","Filadélfia (BA)","Total","Total","882"
"2910909","Firmino Alves (BA)","Total","Total","252"
"2911006","Floresta Azul (BA)","Total","Total","431"
"2911105","Formosa do Rio Preto (BA)","Total","Total","1076"
"2911204","Gandu (BA)","Total","Total","1365"
"2911253","Gavião (BA)","Total","Total","185"
"2911303","Gentio do Ouro (BA)","Total","Total","388"
"2911402","Glória (BA)","Total","Total","396"
"2911501","Gongogi (BA)","Total","Total","489"
"2911600","Governador Mangabeira (BA)","Total","Total","570"
"2911659","Guajeru (BA)","Total","Total","203"
"2911709","Guanambi (BA)","Total","Total","3067"
"2911808","Guaratinga (BA)","Total","Total","1328"
"2911857","Heliópolis (BA)","Total","Total","368"
"2911907","Iaçu (BA)","Total","Total","1182"
"2912004","Ibiassucê (BA)","Total","Total","303"
"2912103","Ibicaraí (BA)","Total","Total","1298"
"2912202","Ibicoara (BA)","Total","Total","521"
"2912301","Ibicuí (BA)","Total","Total","519"
"2912400","Ibipeba (BA)","Total","Total","561"
"2912509","Ibipitanga (BA)","Total","Total","640"
"2912608","Ibiquera (BA)","Total","Total","167"
"2912707","Ibirapitanga (BA)","Total","Total","684"
"2912806","Ibirapuã (BA)","Total","Total","290"
"2912905","Ibirataia (BA)","Total","Total","946"
"2913002","Ibitiara (BA)","Total","Total","233"
"2913101","Ibititá (BA)","Total","Total","560"
"2913200","Ibotirama (BA)","Total","Total","1016"
"2913309","Ichu (BA)","Total","Total","159"
"2913408","Igaporã (BA)","Total","Total","1071"
"2913457","Igrapiúna (BA)","Total","Total","332"
"2913507","Iguaí (BA)","Total","Total","1272"
"2913606","Ilhéus (BA)","Total","Total","11109"
"2913705","Inhambupe (BA)","Total","Total","1598"
"2913804","Ipecaetá (BA)","Total","Total","711"
"2913903","Ipiaú (BA)","Total","Total","2840"
"2914000","Ipirá (BA)","Total","Total","2262"
"2914109","Ipupiara (BA)","Total","Total","517"
"2914208","Irajuba (BA)","Total","Total","312"
"2914307","Iramaia (BA)","Total","Total","338"
"2914406","Iraquara (BA)","Total","Total","795"
"2914505","Irará (BA)","Total","Total","813"
"2914604","Irecê (BA)","Total","Total","2657"
"2914653","Itabela (BA)","Total","Total","1603"
"2914703","Itaberaba (BA)","Total","Total","3621"
"2914802","Itabuna (BA)","Total","Total","13715"
"2914901","Itacaré (BA)","Total","Total","889"
"2915007","Itaeté (BA)","Total","Total","552"
"2915106","Itagi (BA)","Total","Total","475"
"2915205","Itagibá (BA)","Total","Total","1151"
"2915304","Itagimirim (BA)","Total","Total","436"
"2915353","Itaguaçu da Bahia (BA)","Total","Total","375"
"2915403","Itaju do Colônia (BA)","Total","Total","421"
"2915502","Itajuípe (BA)","Total","Total","1019"
"2915601","Itamaraju (BA)","Total","Total","3125"
"2915700","Itamari (BA)","Total","Total","382"
"2915809","Itambé (BA)","Total","Total","822"
"2915908","Itanagra (BA)","Total","Total","459"
"2916005","Itanhém (BA)","Total","Total","745"
"2916104","Itaparica (BA)","Total","Total","1586"
"2916203","Itapé (BA)","Total","Total","896"
"2916302","Itapebi (BA)","Total","Total","558"
"2916401","Itapetinga (BA)","Total","Total","2624"
"2916500","Itapicuru (BA)","Total","Total","1500"
"2916609","Itapitanga (BA)","Total","Total","564"
"2916708","Itaquara (BA)","Total","Total","392"
"2916807","Itarantim (BA)","Total","Total","1037"
"2916856","Itatim (BA)","Total","Total","722"
"2916906","Itiruçu (BA)","Total","Total","661"
"2917003","Itiúba (BA)","Total","Total","691"
"2917102","Itororó (BA)","Total","Total","646"
"2917201","Ituaçu (BA)","Total","Total","627"
"2917300","Ituberá (BA)","Total","Total","951"
"2917334","Iuiu (BA)","Total","Total","652"
"2917359","Jaborandi (BA)","Total","Total","719"
"2917409","Jacaraci (BA)","Total","Total","326"
"2917508","Jacobina (BA)","Total","Total","3541"
"2917607","Jaguaquara (BA)","Total","Total","1985"
"2917706","Jaguarari (BA)","Total","Total","1178"
"2917805","Jaguaripe (BA)","Total","Total","396"
"2917904","Jandaíra (BA)","Total","Total","388"
"2918001","Jequié (BA)","Total","Total","7279"
"2918100","Jeremoabo (BA)","Total","Total","706"
"2918209","Jiquiriçá (BA)","Total","Total","287"
"2918308","Jitaúna (BA)","Total","Total","709"
"2918357","João Dourado (BA)","Total","Total","604"
"2918407","Juazeiro (BA)","Total","Total","9939"
"2918456","Jucuruçu (BA)","Total","Total","174"
"2918506","Jussara (BA)","Total","Total","412"
"2918555","Jussari (BA)","Total","Total","372"
"2918605","Jussiape (BA)","Total","Total","125"
"2918704","Lafaiete Coutinho (BA)","Total","Total","220"
"2918753","Lagoa Real (BA)","Total","Total","299"
"2918803","Laje (BA)","Total","Total","422"
"2918902","Lajedão (BA)","Total","Total","139"
"2919009","Lajedinho (BA)","Total","Total","189"
"2919058","Lajedo do Tabocal (BA)","Total","Total","330"
"2919108","Lamarão (BA)","Total","Total","282"
"2919157","Lapão (BA)","Total","Total","970"
"2919207","Lauro de Freitas (BA)","Total","Total","9810"
"2919306","Lençóis (BA)","Total","Total","452"
"2919405","Licínio de Almeida (BA)","Total","Total","261"
"2919504","Livramento de Nossa Senhora (BA)","Total","Total","1218"
"2919553","Luís Eduardo Magalhães (BA)","Total","Total","2394"
"2919603","Macajuba (BA)","Total","Total","501"
"2919702","Macarani (BA)","Total","Total","670"
"2919801","Macaúbas (BA)","Total","Total","1543"
"2919900","Macururé (BA)","Total","Total","309"
"2919926","Madre de Deus (BA)","Total","Total","1945"
"2919959","Maetinga (BA)","Total","Total","108"
"2920007","Maiquinique (BA)","Total","Total","516"
"2920106","Mairi (BA)","Total","Total","547"
"2920205","Malhada (BA)","Total","Total","417"
"2920304","Malhada de Pedras (BA)","Total","Total","149"
"2920403","Manoel Vitorino (BA)","Total","Total","446"
"2920452","Mansidão (BA)","Total","Total","351"
"2920502","Maracás (BA)","Total","Total","937"
"2920601","Maragogipe (BA)","Total","Total","2044"
"2920700","Maraú (BA)","Total","Total","477"
"2920809","Marcionílio Souza (BA)","Total","Total","720"
"2920908","Mascote (BA)","Total","Total","763"
"2921005","Mata de São João (BA)","Total","Total","2508"
"2921054","Matina (BA)","Total","Total","252"
"2921104","Medeiros Neto (BA)","Total","Total","993"
"2921203","Miguel Calmon (BA)","Total","Total","1132"
"2921302","Milagres (BA)","Total","Total","617"
"2921401","Mirangaba (BA)","Total","Total","532"
"2921450","Mirante (BA)","Total","Total","275"
"2921500","Monte Santo (BA)","Total","Total","1022"
"2921609","Morpará (BA)","Total","Total","446"
"2921708","Morro do Chapéu (BA)","Total","Total","1325"
"2921807","Mortugaba (BA)","Total","Total","356"
"2921906","Mucugê (BA)","Total","Total","519"
"2922003","Mucuri (BA)","Total","Total","1573"
"2922052","Mulungu do Morro (BA)","Total","Total","432"
"2922102","Mundo Novo (BA)","Total","Total","915"
"2922201","Muniz Ferreira (BA)","Total","Total","363"
"2922250","Muquém do São Francisco (BA)","Total","Total","488"
"2922300","Muritiba (BA)","Total","Total","2152"
"2922409","Mutuípe (BA)","Total","Total","659"
"2922508","Nazaré (BA)","Total","Total","1519"
"2922607","Nilo Peçanha (BA)","Total","Total","226"
"2922656","Nordestina (BA)","Total","Total","441"
"2922706","Nova Canaã (BA)","Total","Total","499"
"2922730","Nova Fátima (BA)","Total","Total","284"
"2922755","Nova Ibiá (BA)","Total","Total","161"
"2922805","Nova Itarana (BA)","Total","Total","481"
"2922854","Nova Redenção (BA)","Total","Total","557"
"2922904","Nova Soure (BA)","Total","Total","684"
"2923001","Nova Viçosa (BA)","Total","Total","1994"
"2923035","Novo Horizonte (BA)","Total","Total","370"
"2923050","Novo Triunfo (BA)","Total","Total","1133"
"2923100","Olindina (BA)","Total","Total","602"
"2923209","Oliveira dos Brejinhos (BA)","Total","Total","1075"
"2923308","Ouriçangas (BA)","Total","Total","238"
"2923357","Ourolândia (BA)","Total","Total","393"
"2923407","Palmas de Monte Alto (BA)","Total","Total","657"
"2923506","Palmeiras (BA)","Total","Total","364"
"2923605","Paramirim (BA)","Total","Total","993"
"2923704","Paratinga (BA)","Total","Total","1004"
"2923803","Paripiranga (BA)","Total","Total","429"
"2923902","Pau Brasil (BA)","Total","Total","271"
"2924009","Paulo Afonso (BA)","Total","Total","4689"
"2924058","Pé de Serra (BA)","Total","Total","488"
"2924108","Pedrão (BA)","Total","Total","239"
"2924207","Pedro Alexandre (BA)","Total","Total","344"
"2924306","Piatã (BA)","Total","Total","471"
"2924405","Pilão Arcado (BA)","Total","Total","930"
"2924504","Pindaí (BA)","Total","Total","381"
"2924603","Pindobaçu (BA)","Total","Total","817"
"2924652","Pintadas (BA)","Total","Total","350"
"2924678","Piraí do Norte (BA)","Total","Total","228"
"2924702","Piripá (BA)","Total","Total","455"
"2924801","Piritiba (BA)","Total","Total","805"
"2924900","Planaltino (BA)","Total","Total","277"
"2925006","Planalto (BA)","Total","Total","1120"
"2925105","Poções (BA)","Total","Total","2687"
"2925204","Pojuca (BA)","Total","Total","3118"
"2925253","Ponto Novo (BA)","Total","Total","744"
"2925303","Porto Seguro (BA)","Total","Total","6335"
"2925402","Potiraguá (BA)","Total","Total","638"
"2925501","Prado (BA)","Total","Total","1310"
"2925600","Presidente Dutra (BA)","Total","Total","191"
"2925709","Presidente Jânio Quadros (BA)","Total","Total","487"
"2925758","Presidente Tancredo Neves (BA)","Total","Total","460"
"2925808","Queimadas (BA)","Total","Total","1275"
"2925907","Quijingue (BA)","Total","Total","423"
"2925931","Quixabeira (BA)","Total","Total","237"
"2925956","Rafael Jambeiro (BA)","Total","Total","745"
"2926004","Remanso (BA)","Total","Total","1265"
"2926103","Retirolândia (BA)","Total","Total","518"
"2926202","Riachão das Neves (BA)","Total","Total","989"
"2926301","Riachão do Jacuípe (BA)","Total","Total","1546"
"2926400","Riacho de Santana (BA)","Total","Total","1162"
"2926509","Ribeira do Amparo (BA)","Total","Total","243"
"2926608","Ribeira do Pombal (BA)","Total","Total","1703"
"2926657","Ribeirão do Largo (BA)","Total","Total","230"
"2926707","Rio de Contas (BA)","Total","Total","280"
"2926806","Rio do Antônio (BA)","Total","Total","288"
"2926905","Rio do Pires (BA)","Total","Total","299"
"2927002","Rio Real (BA)","Total","Total","751"
"2927101","Rodelas (BA)","Total","Total","314"
"2927200","Ruy Barbosa (BA)","Total","Total","1745"
"2927309","Salinas da Margarida (BA)","Total","Total","369"
"2927408","Salvador (BA)","Total","Total","188230"
"2927507","Santa Bárbara (BA)","Total","Total","793"
"2927606","Santa Brígida (BA)","Total","Total","308"
"2927705","Santa Cruz Cabrália (BA)","Total","Total","1691"
"2927804","Santa Cruz da Vitória (BA)","Total","Total","234"
"2927903","Santa Inês (BA)","Total","Total","559"
"2928000","Santaluz (BA)","Total","Total","1595"
"2928059","Santa Luzia (BA)","Total","Total","405"
"2928109","Santa Maria da Vitória (BA)","Total","Total","1220"
"2928208","Santana (BA)","Total","Total","1234"
"2928307","Santanópolis (BA)","Total","Total","252"
"2928406","Santa Rita de Cássia (BA)","Total","Total","692"
"2928505","Santa Terezinha (BA)","Total","Total","411"
"2928604","Santo Amaro (BA)","Total","Total","3380"
"2928703","Santo Antônio de Jesus (BA)","Total","Total","5033"
"2928802","Santo Estêvão (BA)","Total","Total","2538"
"2928901","São Desidério (BA)","Total","Total","599"
"2928950","São Domingos (BA)","Total","Total","385"
"2929008","São Félix (BA)","Total","Total","888"
"2929057","São Félix do Coribe (BA)","Total","Total","512"
"2929107","São Felipe (BA)","Total","Total","687"
"2929206","São Francisco do Conde (BA)","Total","Total","3991"
"2929255","São Gabriel (BA)","Total","Total","505"
"2929305","São Gonçalo dos Campos (BA)","Total","Total","2060"
"2929354","São José da Vitória (BA)","Total","Total","233"
"2929370","São José do Jacuípe (BA)","Total","Total","386"
"2929404","São Miguel das Matas (BA)","Total","Total","224"
"2929503","São Sebastião do Passé (BA)","Total","Total","3312"
"2929602","Sapeaçu (BA)","Total","Total","805"
"2929701","Sátiro Dias (BA)","Total","Total","463"
"2929750","Saubara (BA)","Total","Total","525"
"2929800","Saúde (BA)","Total","Total","754"
"2929909","Seabra (BA)","Total","Total","1437"
"2930006","Sebastião Laranjeiras (BA)","Total","Total","257"
"2930105","Senhor do Bonfim (BA)","Total","Total","3696"
"2930154","Serra do Ramalho (BA)","Total","Total","1274"
"2930204","Sento Sé (BA)","Total","Total","1299"
"2930303","Serra Dourada (BA)","Total","Total","830"
"2930402","Serra Preta (BA)","Total","Total","637"
"2930501","Serrinha (BA)","Total","Total","3711"
"2930600","Serrolândia (BA)","Total","Total","527"
"2930709","Simões Filho (BA)","Total","Total","10269"
"2930758","Sítio do Mato (BA)","Total","Total","337"
"2930766","Sítio do Quinto (BA)","Total","Total","330"
"2930774","Sobradinho (BA)","Total","Total","1082"
"2930808","Souto Soares (BA)","Total","Total","245"
"2930907","Tabocas do Brejo Velho (BA)","Total","Total","308"
"2931004","Tanhaçu (BA)","Total","Total","765"
"2931053","Tanque Novo (BA)","Total","Total","469"
"2931103","Tanquinho (BA)","Total","Total","257"
"2931202","Taperoá (BA)","Total","Total","442"
"2931301","Tapiramutá (BA)","Total","Total","909"
"2931350","Teixeira de Freitas (BA)","Total","Total","7352"
"2931400","Teodoro Sampaio (BA)","Total","Total","497"
"2931509","Teofilândia (BA)","Total","Total","540"
"2931608","Teolândia (BA)","Total","Total","604"
"2931707","Terra Nova (BA)","Total","Total","835"
"2931806","Tremedal (BA)","Total","Total","730"
"2931905","Tucano (BA)","Total","Total","2049"
"2932002","Uauá (BA)","Total","Total","693"
"2932101","Ubaíra (BA)","Total","Total","734"
"2932200","Ubaitaba (BA)","Total","Total","709"
"2932309","Ubatã (BA)","Total","Total","1959"
"2932408","Uibaí (BA)","Total","Total","427"
"2932457","Umburanas (BA)","Total","Total","1153"
"2932507","Una (BA)","Total","Total","1618"
"2932606","Urandi (BA)","Total","Total","741"
"2932705","Uruçuca (BA)","Total","Total","1250"
"2932804","Utinga (BA)","Total","Total","616"
"2932903","Valença (BA)","Total","Total","4863"
"2933000","Valente (BA)","Total","Total","884"
"2933059","Várzea da Roça (BA)","Total","Total","636"
"2933109","Várzea do Poço (BA)","Total","Total","341"
"2933158","Várzea Nova (BA)","Total","Total","536"
"2933174","Varzedo (BA)","Total","Total","338"
"2933208","Vera Cruz (BA)","Total","Total","2141"
"2933257","Vereda (BA)","Total","Total","128"
"2933307","Vitória da Conquista (BA)","Total","Total","14200"
"2933406","Wagner (BA)","Total","Total","354"
"2933455","Wanderley (BA)","Total","Total","486"
"2933505","Wenceslau Guimarães (BA)","Total","Total","770"
"2933604","Xique-Xique (BA)","Total","Total","2155"
"3100104","Abadia dos Dourados (MG)","Total","Total","142"
"3100203","Abaeté (MG)","Total","Total","599"
"3100302","Abre Campo (MG)","Total","Total","203"
"3100401","Acaiaca (MG)","Total","Total","366"
"3100500","Açucena (MG)","Total","Total","188"
"3100609","Água Boa (MG)","Total","Total","348"
"3100708","Água Comprida (MG)","Total","Total","29"
"3100807","Aguanil (MG)","Total","Total","121"
"3100906","Águas Formosas (MG)","Total","Total","741"
"3101003","Águas Vermelhas (MG)","Total","Total","382"
"3101102","Aimorés (MG)","Total","Total","834"
"3101201","Aiuruoca (MG)","Total","Total","123"
"3101300","Alagoa (MG)","Total","Total","61"
"3101409","Albertina (MG)","Total","Total","35"
