"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"4210100003","Restinga - Mafra (SC)","Total","Total","1038","1025","5","8","-","-"
"4210100004","Vila Ivete - Mafra (SC)","Total","Total","1601","1596","4","1","-","-"
"4210100005","Vila das Flores - Mafra (SC)","Total","Total","403","403","-","-","-","-"
"4210100006","Vila Buenos Aires - Mafra (SC)","Total","Total","822","783","-","39","-","-"
"4210100007","Jardim América - Mafra (SC)","Total","Total","1234","1217","16","1","-","-"
"4210100008","Fazenda Potreiro - Mafra (SC)","Total","Total","13","13","-","-","-","-"
"4210100009","Campo da Lança - Mafra (SC)","Total","Total","106","106","-","-","-","-"
"4210100010","Espigão do Bugre - Mafra (SC)","Total","Total","395","390","-","5","-","-"
"4210100011","Faxinal - Mafra (SC)","Total","Total","890","884","-","6","-","-"
"4210100012","Vila Nova - Mafra (SC)","Total","Total","2511","2478","1","31","1","-"
"4210100013","Vila Formosa - Mafra (SC)","Total","Total","505","475","7","23","-","-"
"4210100014","Jardim do Moinho - Mafra (SC)","Total","Total","373","333","-","40","-","-"
"4210100015","Vila Ferroviária - Mafra (SC)","Total","Total","593","583","2","7","1","-"
"4210100016","Vila Argentina - Mafra (SC)","Total","Total","210","205","4","-","1","-"
"4210100017","Do Autódromo - Mafra (SC)","Total","Total","12","11","-","1","-","-"
"4210506001","Centro - Maravilha (SC)","Total","Total","1276","694","-","578","4","-"
"4210506002","Padre Antonio - Maravilha (SC)","Total","Total","508","487","-","21","-","-"
"4210506003","Progresso - Maravilha (SC)","Total","Total","254","228","1","25","-","-"
"4210506004","José de Anchieta - Maravilha (SC)","Total","Total","167","163","1","3","-","-"
"4210506005","União - Maravilha (SC)","Total","Total","671","652","1","18","-","-"
"4210506006","Bela Vista - Maravilha (SC)","Total","Total","469","468","-","1","-","-"
"4210506007","Morada do Sol - Maravilha (SC)","Total","Total","230","229","-","1","-","-"
"4210506008","São José - Maravilha (SC)","Total","Total","177","177","-","-","-","-"
"4210506009","Jardim - Maravilha (SC)","Total","Total","273","267","1","5","-","-"
"4210506010","Madalozzo - Maravilha (SC)","Total","Total","325","232","-","93","-","-"
"4210506011","Frei Damião - Maravilha (SC)","Total","Total","274","226","-","46","2","-"
"4210506012","Kasper - Maravilha (SC)","Total","Total","169","169","-","-","-","-"
"4210506013","Floresta - Maravilha (SC)","Total","Total","606","587","-","17","2","-"
"4210506014","Novo Bairro - Maravilha (SC)","Total","Total","427","403","-","7","17","-"
"4210506015","Civemara - Maravilha (SC)","Total","Total","160","152","-","8","-","-"
"4210506016","Universitário - Maravilha (SC)","Total","Total","10","10","-","-","-","-"
"4210506017","Industrial - Maravilha (SC)","Total","Total","14","13","-","1","-","-"
"4210605001","Centro - Massaranduba (SC)","Total","Total","1113","947","-","162","4","-"
"4210605002","Patrimônio - Massaranduba (SC)","Total","Total","213","213","-","-","-","-"
"4210605003","Butuca - Massaranduba (SC)","Total","Total","186","182","1","2","1","-"
"4210605004","Guarani-Mirim - Massaranduba (SC)","Total","Total","433","408","-","24","1","-"
"4210605005","Industrial - Massaranduba (SC)","Total","Total","82","81","-","1","-","-"
"4210803001","Centro - Meleiro (SC)","Total","Total","272","236","-","36","-","-"
"4210803002","Imigrantes - Meleiro (SC)","Total","Total","141","141","-","-","-","-"
"4210803003","Jardim América - Meleiro (SC)","Total","Total","98","97","-","1","-","-"
"4210803004","Jardim Itália - Meleiro (SC)","Total","Total","254","253","-","-","1","-"
"4210803005","Estreito - Meleiro (SC)","Total","Total","137","134","-","3","-","-"
"4210803006","Zanette - Meleiro (SC)","Total","Total","113","108","-","5","-","-"
"4210852001","Boa Vista - Mirim Doce (SC)","Total","Total","92","90","-","2","-","-"
"4210852002","Santa Lúcia - Mirim Doce (SC)","Total","Total","..","..","..","..","..",".."
"4210852003","Nova Esperança - Mirim Doce (SC)","Total","Total","91","90","-","-","1","-"
"4210852004","Vila Nova - Mirim Doce (SC)","Total","Total","66","64","-","2","-","-"
"4210852005","Centro - Mirim Doce (SC)","Total","Total","109","94","-","15","-","-"
"4210902001","Palmeiras - Modelo (SC)","Total","Total","54","54","-","-","-","-"
"4210902002","Industrial - Modelo (SC)","Total","Total","17","17","-","-","-","-"
"4210902003","Floresta - Modelo (SC)","Total","Total","127","127","-","-","-","-"
"4210902004","Alvorada - Modelo (SC)","Total","Total","73","73","-","-","-","-"
"4210902005","Centro - Modelo (SC)","Total","Total","216","162","-","54","-","-"
"4210902006","Jardim - Modelo (SC)","Total","Total","100","91","-","9","-","-"
"4210902007","Laranjeiras - Modelo (SC)","Total","Total","94","94","-","-","-","-"
"4210902008","Iguaçú - Modelo (SC)","Total","Total","31","29","-","2","-","-"
"4210902009","Araucária - Modelo (SC)","Total","Total","78","78","-","-","-","-"
"4211009001","Centro - Mondaí (SC)","Total","Total","364","269","-","94","1","-"
"4211009002","Ipanema - Mondaí (SC)","Total","Total","97","97","-","-","-","-"
"4211009003","Capivara - Mondaí (SC)","Total","Total","111","111","-","-","-","-"
"4211009004","Morada do Sol - Mondaí (SC)","Total","Total","133","133","-","-","-","-"
"4211009005","Jardim Cristiane - Mondaí (SC)","Total","Total","31","30","1","-","-","-"
"4211009006","Antas - Mondaí (SC)","Total","Total","289","289","-","-","-","-"
"4211009007","Uruguai - Mondaí (SC)","Total","Total","283","283","-","-","-","-"
"4211009008","Floresta - Mondaí (SC)","Total","Total","247","247","-","-","-","-"
"4211009009","Bela Vista - Mondaí (SC)","Total","Total","150","148","2","-","-","-"
"4211207001","Menino Jesus - Morro da Fumaça (SC)","Total","Total","26","26","-","-","-","-"
"4211207002","Maccari - Morro da Fumaça (SC)","Total","Total","389","389","-","-","-","-"
"4211207003","Ibirapuera - Morro da Fumaça (SC)","Total","Total","110","107","-","3","-","-"
"4211207004","Centro - Morro da Fumaça (SC)","Total","Total","576","430","-","144","2","-"
"4211207005","Bortolatto - Morro da Fumaça (SC)","Total","Total","104","99","-","5","-","-"
"4211207006","Naspolini - Morro da Fumaça (SC)","Total","Total","440","440","-","-","-","-"
"4211207007","De Costa - Morro da Fumaça (SC)","Total","Total","287","242","-","45","-","-"
"4211207008","Palladini - Morro da Fumaça (SC)","Total","Total","108","96","-","12","-","-"
"4211207009","Esperança - Morro da Fumaça (SC)","Total","Total","210","210","-","-","-","-"
"4211207010","Capelinha - Morro da Fumaça (SC)","Total","Total","151","151","-","-","-","-"
"4211207011","Jussara - Morro da Fumaça (SC)","Total","Total","293","288","-","5","-","-"
"4211207012","Monte Verde - Morro da Fumaça (SC)","Total","Total","256","255","-","1","-","-"
"4211207013","Barracão - Morro da Fumaça (SC)","Total","Total","108","108","-","-","-","-"
"4211207014","Graziela - Morro da Fumaça (SC)","Total","Total","231","231","-","-","-","-"
"4211306001","Centro - Navegantes (SC)","Total","Total","5294","4525","30","708","31","-"
"4211306002","São Pedro - Navegantes (SC)","Total","Total","662","626","1","35","-","-"
"4211306003","Meia Praia - Navegantes (SC)","Total","Total","1250","1183","1","66","-","-"
"4211306004","De Gravatá - Navegantes (SC)","Total","Total","2135","1784","11","340","-","-"
"4211306005","São Paulo - Navegantes (SC)","Total","Total","1661","1585","2","49","25","-"
"4211306006","São Domingos - Navegantes (SC)","Total","Total","2617","2434","7","163","13","-"
"4211306007","Nossa Senhora das Graças - Navegantes (SC)","Total","Total","1328","1284","-","42","2","-"
"4211306008","De Machados - Navegantes (SC)","Total","Total","2125","2024","1","94","6","-"
"4211306009","Volta Grande - Navegantes (SC)","Total","Total","298","296","-","2","-","-"
"4211306010","De Pedreiras - Navegantes (SC)","Total","Total","240","238","-","2","-","-"
"4211603001","Elisa - Nova Veneza (SC)","Total","Total","99","99","-","-","-","-"
"4211603002","Bortolotto - Nova Veneza (SC)","Total","Total","474","465","-","9","-","-"
"4211603003","Bortoluzzi - Nova Veneza (SC)","Total","Total","121","121","-","-","-","-"
"4211603004","Centro - Nova Veneza (SC)","Total","Total","415","363","-","52","-","-"
"4211702001","Centro - Orleans (SC)","Total","Total","1011","508","5","498","-","-"
"4211702002","Lomba - Orleans (SC)","Total","Total","311","218","-","93","-","-"
"4211702003","Cohab - Orleans (SC)","Total","Total","145","145","-","-","-","-"
"4211702004","Alto Paraná - Orleans (SC)","Total","Total","365","356","-","7","2","-"
"4211702005","Santista - Orleans (SC)","Total","Total","212","206","-","2","4","-"
"4211702006","Conde D'Eu - Orleans (SC)","Total","Total","250","160","-","90","-","-"
"4211702007","Samuel Sandrini - Orleans (SC)","Total","Total","265","249","-","16","-","-"
"4211702008","Corridas - Orleans (SC)","Total","Total","387","375","1","10","1","-"
"4211702009","Barzan - Orleans (SC)","Total","Total","9","9","-","-","-","-"
"4211702010","Otávio Dalazen - Orleans (SC)","Total","Total","75","75","-","-","-","-"
"4211702011","Coloninha - Orleans (SC)","Total","Total","261","261","-","-","-","-"
"4211702012","Barra do Rio Novo - Orleans (SC)","Total","Total","114","114","-","-","-","-"
"4211702013","Aires Rodrigues - Orleans (SC)","Total","Total","45","45","-","-","-","-"
"4211702014","Barro Vermelho - Orleans (SC)","Total","Total","500","450","-","50","-","-"
"4211702015","Rio Belo - Orleans (SC)","Total","Total","326","322","-","4","-","-"
"4211702016","Orlando Bússolo - Orleans (SC)","Total","Total","22","22","-","-","-","-"
"4211702017","Murialdo - Orleans (SC)","Total","Total","43","43","-","-","-","-"
"4211702018","São Gerônimo - Orleans (SC)","Total","Total","244","244","-","-","-","-"
"4211702019","Taipa - Orleans (SC)","Total","Total","56","56","-","-","-","-"
"4211702020","Km 92 - Orleans (SC)","Total","Total","36","36","-","-","-","-"
"4211900001","Ponte do Imaruim - Palhoça (SC)","Total","Total","3874","3185","2","678","9","-"
"4211900002","Ponta do Papagaio - Palhoça (SC)","Total","Total","88","69","5","14","-","-"
"4212106001","Centro - Palmitos (SC)","Total","Total","1164","908","1","255","-","-"
"4212106002","Tancredo Neves - Palmitos (SC)","Total","Total","92","92","-","-","-","-"
"4212106003","Bom Sucesso - Palmitos (SC)","Total","Total","114","112","-","2","-","-"
"4212106004","Bagatini - Palmitos (SC)","Total","Total","211","211","-","-","-","-"
"4212106005","Santa Terezinha - Palmitos (SC)","Total","Total","305","304","-","1","-","-"
"4212106006","Bela Vista - Palmitos (SC)","Total","Total","100","95","-","3","2","-"
"4212106007","Resener - Palmitos (SC)","Total","Total","115","115","-","-","-","-"
"4212106008","Aurora - Palmitos (SC)","Total","Total","166","165","1","-","-","-"
"4212106009","Cristo Rei - Palmitos (SC)","Total","Total","103","103","-","-","-","-"
"4212106010","Progresso - Palmitos (SC)","Total","Total","257","250","-","7","-","-"
"4212106011","Industrial - Palmitos (SC)","Total","Total","10","10","-","-","-","-"
"4212106012","Nossa Senhora do Rosário - Palmitos (SC)","Total","Total","195","193","2","-","-","-"
"4212106013","Machadinho - Palmitos (SC)","Total","Total","102","102","-","-","-","-"
"4212106014","Bortolanza - Palmitos (SC)","Total","Total","79","79","-","-","-","-"
"4212502001","Centro - Penha (SC)","Total","Total","2755","2608","15","126","6","-"
"4212502002","Praia de Armação do Itapocorói - Penha (SC)","Total","Total","2597","2455","6","133","3","-"
"4212502003","Gravatá - Penha (SC)","Total","Total","1043","997","2","44","-","-"
"4212502004","Santa Lídia - Penha (SC)","Total","Total","455","447","5","2","1","-"
"4212502005","Nossa Senhora de Fátima - Penha (SC)","Total","Total","585","582","-","3","-","-"
"4212908001","Centro - Pinhalzinho (SC)","Total","Total","790","365","-","425","-","-"
"4212908002","Efacip - Pinhalzinho (SC)","Total","Total","176","162","-","14","-","-"
"4212908003","São José - Pinhalzinho (SC)","Total","Total","223","187","-","36","-","-"
"4212908004","Centro Oeste - Pinhalzinho (SC)","Total","Total","23","23","-","-","-","-"
"4212908005","Santo Antônio - Pinhalzinho (SC)","Total","Total","334","290","1","42","1","-"
"4212908006","Baixada Pioneira - Pinhalzinho (SC)","Total","Total","701","659","-","42","-","-"
"4212908007","Nova Divinéia - Pinhalzinho (SC)","Total","Total","789","692","-","97","-","-"
"4212908008","Panorama - Pinhalzinho (SC)","Total","Total","126","121","-","5","-","-"
"4212908009","Bela Vista - Pinhalzinho (SC)","Total","Total","360","360","-","-","-","-"
"4212908010","Jardim Maria Terezinha - Pinhalzinho (SC)","Total","Total","189","185","-","3","1","-"
"4213005001","Centro - Pinheiro Preto (SC)","Total","Total","330","327","-","3","-","-"
"4213005002","São José - Pinheiro Preto (SC)","Total","Total","141","140","1","-","-","-"
"4213005003","Vila Bressan - Pinheiro Preto (SC)","Total","Total","20","20","-","-","-","-"
"4213005004","Britador - Pinheiro Preto (SC)","Total","Total","15","15","-","-","-","-"
"4213609001","Centro - Porto União (SC)","Total","Total","959","452","1","506","-","-"
"4213609002","Cidade Nova - Porto União (SC)","Total","Total","584","503","-","74","7","-"
"4213609003","Santa Rosa - Porto União (SC)","Total","Total","2173","2112","3","58","-","-"
"4213609004","Pintado - Porto União (SC)","Total","Total","68","68","-","-","-","-"
"4213609005","Bela Vista - Porto União (SC)","Total","Total","858","855","3","-","-","-"
"4213609006","São Pedro - Porto União (SC)","Total","Total","2838","2818","-","20","-","-"
"4213609007","Vice-King - Porto União (SC)","Total","Total","985","984","-","1","-","-"
"4213708001","Centro - Pouso Redondo (SC)","Total","Total","236","152","-","84","-","-"
"4213708003","Arroio Grande - Pouso Redondo (SC)","Total","Total","86","86","-","-","-","-"
"4213708004","Leopoldo Mees - Pouso Redondo (SC)","Total","Total","237","237","-","-","-","-"
"4213708005","Progresso - Pouso Redondo (SC)","Total","Total","531","444","-","87","-","-"
"4213708006","Saltinho - Pouso Redondo (SC)","Total","Total","62","62","-","-","-","-"
"4213708007","Arno Siewerdt - Pouso Redondo (SC)","Total","Total","335","334","-","1","-","-"
"4213708008","Vila Adelaide - Pouso Redondo (SC)","Total","Total","186","182","-","4","-","-"
"4213708009","Planalto - Pouso Redondo (SC)","Total","Total","293","293","-","-","-","-"
"4213708010","Boa Vista - Pouso Redondo (SC)","Total","Total","524","478","-","42","4","-"
"4213708011","Independência - Pouso Redondo (SC)","Total","Total","129","105","-","24","-","-"
"4214003001","Centro - Presidente Getúlio (SC)","Total","Total","1833","1506","2","313","12","-"
"4214003002","Rio Ferro - Presidente Getúlio (SC)","Total","Total","315","309","-","5","1","-"
"4214003003","Niterói - Presidente Getúlio (SC)","Total","Total","463","456","3","3","1","-"
"4214003004","Pinheiro - Presidente Getúlio (SC)","Total","Total","431","424","2","5","-","-"
"4214003005","Revólver - Presidente Getúlio (SC)","Total","Total","297","291","-","6","-","-"
"4214508001","Centro - Rio do Campo (SC)","Total","Total","175","139","-","36","-","-"
"4214508002","Floresta - Rio do Campo (SC)","Total","Total","175","170","4","-","1","-"
"4214508003","Sulbrasil - Rio do Campo (SC)","Total","Total","97","94","-","3","-","-"
"4214508004","Guanabara - Rio do Campo (SC)","Total","Total","161","160","-","1","-","-"
"4214508005","Cruzeiro - Rio do Campo (SC)","Total","Total","183","171","-","12","-","-"
"4214508006","Taiozinho - Rio do Campo (SC)","Total","Total","74","73","1","-","-","-"
"4214607001","Gabiroba - Rio do Oeste (SC)","Total","Total","266","257","-","9","-","-"
"4214607002","Jardim das Hortências - Rio do Oeste (SC)","Total","Total","174","172","-","2","-","-"
"4214607003","Centro - Rio do Oeste (SC)","Total","Total","218","177","-","41","-","-"
"4214607004","Vila Nova - Rio do Oeste (SC)","Total","Total","124","124","-","-","-","-"
"4214607005","Pioneiros - Rio do Oeste (SC)","Total","Total","80","80","-","-","-","-"
"4214607006","Jardim Primavera - Rio do Oeste (SC)","Total","Total","112","111","-","1","-","-"
"4214607007","Bela Vista - Rio do Oeste (SC)","Total","Total","96","96","-","-","-","-"
"4214706001","Divinéia - Rio dos Cedros (SC)","Total","Total","601","532","-","69","-","-"
"4214706002","Centro - Rio dos Cedros (SC)","Total","Total","296","239","-","57","-","-"
"4214706003","Cruzeiro - Rio dos Cedros (SC)","Total","Total","202","193","-","4","5","-"
